2019-08-08 19:09:16.5818 Info Loading Cardigann definition /app/Jackett/Definitions/tntvillage.yml 
2019-08-08 19:09:16.5818 Info Loading Cardigann definition /app/Jackett/Definitions/yggtorrent.yml 
2019-08-08 19:09:16.5935 Info Loading Cardigann definition /app/Jackett/Definitions/crazyscorner.yml 
2019-08-08 19:09:16.6010 Info Loading Cardigann definition /app/Jackett/Definitions/bit-titan.yml 
2019-08-08 19:09:16.6010 Info Loading Cardigann definition /app/Jackett/Definitions/torrentlt.yml 
2019-08-08 19:09:16.6128 Info Loading Cardigann definition /app/Jackett/Definitions/scenerush.yml 
2019-08-08 19:09:16.6128 Info Loading Cardigann definition /app/Jackett/Definitions/empornium.yml 
2019-08-08 19:09:16.6355 Info Loading Cardigann definition /app/Jackett/Definitions/gigatorrents.yml 
2019-08-08 19:09:16.6416 Info Loading Cardigann definition /app/Jackett/Definitions/siambit.yml 
2019-08-08 19:09:16.6416 Info Loading Cardigann definition /app/Jackett/Definitions/2fast4you.yml 
2019-08-08 19:09:16.6539 Info Loading Cardigann definition /app/Jackett/Definitions/audiobookbay.yml 
2019-08-08 19:09:16.6620 Info Loading Cardigann definition /app/Jackett/Definitions/themoviecave.yml 
2019-08-08 19:09:16.6620 Info Loading Cardigann definition /app/Jackett/Definitions/hdhome.yml 
2019-08-08 19:09:16.6724 Info Loading Cardigann definition /app/Jackett/Definitions/baibako.yml 
2019-08-08 19:09:16.6724 Info Loading Cardigann definition /app/Jackett/Definitions/theoccult.yml 
2019-08-08 19:09:16.6840 Info Loading Cardigann definition /app/Jackett/Definitions/hqsource.yml 
2019-08-08 19:09:16.6840 Info Loading Cardigann definition /app/Jackett/Definitions/proaudiotorrents.yml 
2019-08-08 19:09:16.6936 Info Loading Cardigann definition /app/Jackett/Definitions/Bittorrentfiles.yml 
2019-08-08 19:09:16.6936 Info Loading Cardigann definition /app/Jackett/Definitions/elittracker.yml 
2019-08-08 19:09:16.7048 Info Loading Cardigann definition /app/Jackett/Definitions/x-ite.me.yml 
2019-08-08 19:09:16.7113 Info Loading Cardigann definition /app/Jackett/Definitions/torrentfunk.yml 
2019-08-08 19:09:16.7113 Info Loading Cardigann definition /app/Jackett/Definitions/femdomcult.yml 
2019-08-08 19:09:16.7207 Info Loading Cardigann definition /app/Jackett/Definitions/torrenting.yml 
2019-08-08 19:09:16.7207 Info Loading Cardigann definition /app/Jackett/Definitions/losslessclub.yml 
2019-08-08 19:09:16.7207 Info Loading Cardigann definition /app/Jackett/Definitions/torrenthr.yml 
2019-08-08 19:09:16.7333 Info Loading Cardigann definition /app/Jackett/Definitions/carpathians.yml 
2019-08-08 19:09:16.7333 Info Loading Cardigann definition /app/Jackett/Definitions/shellife.yml 
2019-08-08 19:09:16.7421 Info Loading Cardigann definition /app/Jackett/Definitions/qxr.yml 
2019-08-08 19:09:16.7421 Info Loading Cardigann definition /app/Jackett/Definitions/efectodoppler.yml 
2019-08-08 19:09:16.7421 Info Loading Cardigann definition /app/Jackett/Definitions/iloveclassics.yml 
2019-08-08 19:09:16.7527 Info Loading Cardigann definition /app/Jackett/Definitions/yourbittorrent.yml 
2019-08-08 19:09:16.7527 Info Loading Cardigann definition /app/Jackett/Definitions/libranet.yml 
2019-08-08 19:09:16.7602 Info Loading Cardigann definition /app/Jackett/Definitions/torrentsectorcrew.yml 
2019-08-08 19:09:16.7602 Info Loading Cardigann definition /app/Jackett/Definitions/nostalgic.yml 
2019-08-08 19:09:16.7708 Info Loading Cardigann definition /app/Jackett/Definitions/sdbits.yml 
2019-08-08 19:09:16.7708 Info Loading Cardigann definition /app/Jackett/Definitions/pwtorrents.yml 
2019-08-08 19:09:16.7814 Info Loading Cardigann definition /app/Jackett/Definitions/asiandvdclub.yml 
2019-08-08 19:09:16.7814 Info Loading Cardigann definition /app/Jackett/Definitions/3dtorrents.yml 
2019-08-08 19:09:16.7914 Info Loading Cardigann definition /app/Jackett/Definitions/metal-iplay-ro.yml 
2019-08-08 19:09:16.7914 Info Loading Cardigann definition /app/Jackett/Definitions/3evils.yml 
2019-08-08 19:09:16.7914 Info Loading Cardigann definition /app/Jackett/Definitions/p2pbg.yml 
2019-08-08 19:09:16.8048 Info Loading Cardigann definition /app/Jackett/Definitions/bithorlo.yml 
2019-08-08 19:09:16.8048 Info Loading Cardigann definition /app/Jackett/Definitions/trezzor.yml 
2019-08-08 19:09:16.8141 Info Loading Cardigann definition /app/Jackett/Definitions/torrentz2.yml 
2019-08-08 19:09:16.8141 Info Loading Cardigann definition /app/Jackett/Definitions/shareisland.yml 
2019-08-08 19:09:16.8240 Info Loading Cardigann definition /app/Jackett/Definitions/rgu.yml 
2019-08-08 19:09:16.8240 Info Loading Cardigann definition /app/Jackett/Definitions/hd4free.yml 
2019-08-08 19:09:16.8352 Info Loading Cardigann definition /app/Jackett/Definitions/megabliz.yml 
2019-08-08 19:09:16.8352 Info Loading Cardigann definition /app/Jackett/Definitions/acidlounge.yml 
2019-08-08 19:09:16.8444 Info Loading Cardigann definition /app/Jackett/Definitions/trancetraffic.yml 
2019-08-08 19:09:16.8444 Info Loading Cardigann definition /app/Jackett/Definitions/peersfm.yml 
2019-08-08 19:09:16.8527 Info Loading Cardigann definition /app/Jackett/Definitions/film-paleis.yml 
2019-08-08 19:09:16.8527 Info Loading Cardigann definition /app/Jackett/Definitions/idope.yml 
2019-08-08 19:09:16.8612 Info Loading Cardigann definition /app/Jackett/Definitions/xktorrent.yml 
2019-08-08 19:09:16.8612 Info Loading Cardigann definition /app/Jackett/Definitions/btschool.yml 
2019-08-08 19:09:16.8612 Info Loading Cardigann definition /app/Jackett/Definitions/waffles.yml 
2019-08-08 19:09:16.8770 Info Loading Cardigann definition /app/Jackett/Definitions/mononokebt.yml 
2019-08-08 19:09:16.8819 Info Loading Cardigann definition /app/Jackett/Definitions/cpabien.yml 
2019-08-08 19:09:16.8819 Info Loading Cardigann definition /app/Jackett/Definitions/lesaloon.yml 
2019-08-08 19:09:16.8920 Info Loading Cardigann definition /app/Jackett/Definitions/hdchina.yml 
2019-08-08 19:09:16.8920 Info Loading Cardigann definition /app/Jackett/Definitions/cinematik.yml 
2019-08-08 19:09:16.9008 Info Loading Cardigann definition /app/Jackett/Definitions/sharespacedb.yml 
2019-08-08 19:09:16.9008 Info Loading Cardigann definition /app/Jackett/Definitions/passionetorrent.yml 
2019-08-08 19:09:16.9113 Info Loading Cardigann definition /app/Jackett/Definitions/sukebei-pantsu.yml 
2019-08-08 19:09:16.9113 Info Loading Cardigann definition /app/Jackett/Definitions/skytorrentsclone.yml 
2019-08-08 19:09:16.9113 Info Loading Cardigann definition /app/Jackett/Definitions/hdsky.yml 
2019-08-08 19:09:16.9247 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9clone.yml 
2019-08-08 19:09:16.9247 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent.yml 
2019-08-08 19:09:16.9367 Info Loading Cardigann definition /app/Jackett/Definitions/torrentquest.yml 
2019-08-08 19:09:16.9407 Info Loading Cardigann definition /app/Jackett/Definitions/hon3yhd.yml 
2019-08-08 19:09:16.9407 Info Loading Cardigann definition /app/Jackett/Definitions/oxtorrent.yml 
2019-08-08 19:09:16.9407 Info Loading Cardigann definition /app/Jackett/Definitions/redstartorrent.yml 
2019-08-08 19:09:16.9536 Info Loading Cardigann definition /app/Jackett/Definitions/torrentslocal.yml 
2019-08-08 19:09:16.9853 Info Loading Cardigann definition /app/Jackett/Definitions/nyaasi.yml 
2019-08-08 19:09:16.9917 Info Loading Cardigann definition /app/Jackett/Definitions/asiancinema.yml 
2019-08-08 19:09:16.9917 Info Loading Cardigann definition /app/Jackett/Definitions/xtremefile.yml 
2019-08-08 19:09:16.9917 Info Loading Cardigann definition /app/Jackett/Definitions/demonoid.yml 
2019-08-08 19:09:17.0092 Info Loading Cardigann definition /app/Jackett/Definitions/kikibt.yml 
